organizacion_id,oportunidad_id,cotizacion_id,estatus_cotizacion,monto_anterior,moneda_anterior,monto_nuevo,moneda_nueva,modo
3dbb2a99-9d81-4233-8444-0990d53b93b3,dfc2fd4e-189c-478e-a5ee-c9645cc1f872,3857c618-2d18-40e5-bb49-ca9984a4cdb8,,,MXN,1552686.00,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,7ff6747c-c381-4119-a862-4680c1f7f32e,31e94f2e-22b3-4e7e-832f-b5c75ae798cd,,80000.0,MXN,76696.70,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,0c38373f-ccdf-4698-9458-c4d0d7a149a4,3613d358-9398-462d-848b-76e9f6b0cc67,,15000.0,MXN,3986.87,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,ef4e7eee-955c-47c3-a61b-6c5c313d2491,e167e457-44cd-4717-9514-72a5d4c5386c,,6987060.0,MXN,6997411.20,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,93b2bb09-ba93-4239-9425-8bf3bd1ab982,2049e02c-d766-41f3-b245-0a2bbbfdea11,,530000.0,MXN,70973.00,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,5f588a7e-7060-457d-81ab-1f0ed051987b,2d591ba6-5bc6-437e-aa60-b30e6a512b7b,,7000000.0,MXN,6997411.20,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,65241e04-0df1-46cb-8166-8c54d77bb4f9,986754d2-3fc7-4652-8271-a6c7d0861dfa,,30000.0,MXN,2901.82,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,5b226ed0-97fe-494f-ae51-06757c01eb9e,48409a36-948c-4e4b-acf2-c666e31461f0,,20000.0,MXN,72507.82,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,538d02bf-f478-4435-a6c6-6fea15431b6b,427f9b22-a9e7-456e-85e2-d1156073f327,,8000.0,MXN,7549.10,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,a2c31a3f-4fe9-451d-bd9f-50cd6a93c202,94efde51-8298-44f3-8788-49a2593cbbc0,,11000.0,MXN,10337.60,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,715f43d7-6e8f-4f69-bffa-6da97f5037ff,279999c3-e75f-4c9c-a3a9-02ac999753cc,,2500.0,MXN,11228.46,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,888d31f7-352b-4ce7-a063-c94954725f4f,35caeda9-493f-4550-b1ee-ed7edfd2d1f0,,,MXN,102012.54,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,b60a4f6a-cc79-42fc-89c9-5b650b7fc431,97a75c71-79dc-40be-bd2f-e1e978b1a0de,,30000.0,MXN,72083.48,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,fec08eaf-9da2-4343-bcaf-ce6a2e54df6a,61286fda-2c4c-4fba-8a76-89f37ad31b9f,,31053.4,MXN,31053.60,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,e318b18b-b945-4c83-832f-cd448fc5c5d8,ef028aa9-ae93-4951-aeda-a9f6d2eec219,,50000.0,MXN,69653.16,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,346ae798-24d6-470a-b26e-2c6666284830,470d5eab-8a9e-4435-9411-d204cd2f3c91,,210000.0,MXN,214981.50,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,a724eb6d-1107-484f-b4f5-f48940ea2854,6ae42fe6-cfb9-4375-9a1e-5bd9e4495732,,30000.0,MXN,53663.55,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,b797d7b6-bcf8-430c-ae97-6f7d9b8c6e14,b7f914e3-cdbe-48af-950b-2840278365b2,,60000.0,MXN,111271.04,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,0f998b12-3bce-40f1-b67f-0ce665873bef,2aba4b53-67bb-432c-be45-faf8f2846689,,25000.0,MXN,25589.70,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,68db02dd-c2c2-48c7-9133-4daf9fb683b6,2ab20eca-e152-4e5a-afcc-ab7a55b37321,,20700.0,MXN,20702.40,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,8a6dcf54-4270-4168-b983-511886ceeb18,74daf939-a7ff-4c86-a3a4-20a3d4d13e28,,25000.0,MXN,21873.34,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,3e825219-db73-4989-a2f7-9c2ecdbb204c,8c994777-2d97-4d7f-8635-2be35c8de606,,28728.0,MXN,3338.93,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,da63f93f-8980-42b4-add5-c804d7bb31fd,0d59adc6-5e11-4737-ab38-8059a7e95a35,,70000.0,MXN,273689.10,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,fa1c3bc6-0c24-456f-8254-0e626d976539,e51e7ff8-ee1e-4e4c-89d5-a4d1d4b27f77,,58690.73,MXN,58697.30,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,0047dfd8-488c-4f24-9a56-6ab29a619bf9,f52bfcd9-54ae-4688-880f-96a96c6e8a4e,,20744.53,MXN,20744.52,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,5dd3a459-4dad-4839-ba6b-0cf0321efc70,1f78f7e6-4806-47cb-8190-5c5ce64f4a43,,,MXN,36756.03,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,dbea0409-ec85-40c8-98d8-73e26893b0be,c27c907e-dbae-4141-9ce0-c52a3734ab34,,23000.0,MXN,24402.72,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,2e827985-4824-414f-a64d-6f2433c31922,98dc236e-e4e6-4331-ad70-59c717d790ac,,32130.0,MXN,49088.70,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,f4ffd031-49fe-4468-84f4-7845268eda44,ef57d54c-a52b-4548-935f-33f8f09085ed,,4000.0,MXN,3263.68,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,8671bf6e-28f4-421c-b56e-b344c7972768,841bc3d8-dfc1-4055-beae-22c2ecf4199f,,28827.84,MXN,22827.84,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,09ff3874-21a7-4b49-84b7-0ec6bb9c38b5,afd813df-a4ab-4e3c-be9b-c839290c0906,,201362.08,MXN,209339.86,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,1be2f28d-7fb1-40d3-8ef4-ec723e54d8fc,ec8f0989-2960-42d2-b561-084ceb43f1b7,,12500.0,MXN,12238.80,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,d16bab54-0f53-4d92-9c47-b36f70264e16,c0cbbaaa-aca5-4a2a-b025-6811b9388b4e,,80000.0,MXN,4550.87,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,4d3f7971-d6a9-4b24-9555-511b3b963b10,acdc390b-ae5f-40f3-8bfc-732c6e72fb9b,,518000.0,MXN,518940.00,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,f7616b61-2856-4051-b7d7-f282ca305c45,fd153d90-74bd-4c67-8a4d-5e0a1eac29d3,,50000.0,MXN,47392.25,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,ac17594e-de9c-40a5-9380-376b3392a81a,60b5bb07-2b29-4c4d-ab12-8d2fdfff4960,,58036.4,MXN,48245.00,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,4be4e8bc-8b9f-4215-a3c4-7b4aef5975d5,a8722b29-9c3d-4a7a-b22b-021ebf79eae2,,21471.9,MXN,915922.66,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,e5cb88ee-57c5-4281-9a7c-ee42f3d002ad,9e2d9304-dc64-4ab7-ac8b-c370271b32a2,,1.0,MXN,1033.76,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,33d7d9ec-022b-4604-99d8-bb150594209b,c37cec3d-c740-4888-988e-a41924dfdf9e,,43387.03,MXN,37402.61,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,0ba63f77-8ce9-4e06-943b-37b7c416409a,1d6722c5-deac-4e76-9eea-fce7090a132e,,24152.9,MXN,3194.69,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,05a3d055-2ec7-403c-afda-a9093d5f7fdb,0dad91a3-595a-40a2-a497-7945b452f13d,,28628.0,MXN,2862.80,MXN,dry-run
3dbb2a99-9d81-4233-8444-0990d53b93b3,593d3fbe-dadd-4f0a-8347-922f68868b95,104f963b-fab2-4437-80ef-ba67ccd61cb6,,,MXN,8934.17,MXN,dry-run
00000000-0000-0000-0000-000000000001,23466d9e-d977-44d0-b1de-04381d9cd3f9,edc18537-e36d-4138-bb78-2782710e889b,,,MXN,28797.00,MXN,dry-run
00000000-0000-0000-0000-000000000001,0dcdbc82-2c0b-40a8-b5a2-245f2cd95cb5,0513eda0-d7cc-4ff5-bfba-be8658413ff4,,,MXN,575500.00,MXN,dry-run
00000000-0000-0000-0000-000000000001,73f5a8e3-4d47-4dc6-944c-9921e49e4558,56f2d770-86d8-4faa-b9ca-367f426d8135,,32800.0,MXN,11049.04,MXN,dry-run
00000000-0000-0000-0000-000000000001,b8e06670-b1af-4aff-852a-4397d7c23d12,f8e50d28-6820-4bed-88c2-ba614f17b4fb,,33788.0,MXN,33758.70,MXN,dry-run
00000000-0000-0000-0000-000000000001,21a6ca51-011e-48ad-b8da-5f1259f95482,9c868beb-199f-4ba5-9d6e-675ce01d5b83,,50794.08,MXN,43788.00,MXN,dry-run
00000000-0000-0000-0000-000000000001,6e708160-7c21-4869-a0d4-7de18f0e5a0a,19ef1fa4-606a-4c44-b1da-f2ae0330563e,,44994.08,MXN,38788.00,MXN,dry-run
00000000-0000-0000-0000-000000000001,de38f47e-fa39-4d12-a01d-c927fe9ff7cf,e872e732-cc2f-48f3-80b8-d23b585dcc9e,,150000.0,MXN,95000.80,MXN,dry-run
